Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
F,Ship,5,5,230,5,low,F,8,1067,No
F,Flight,4,5,258,5,low,M,3,1162,No
D,Flight,6,4,186,2,low,M,5,4851,Yes
F,Ship,4,3,251,5,medium,M,2,1482,No
A,Ship,4,5,243,4,low,F,1,5328,No
B,Ship,5,1,263,6,low,F,3,1665,Yes
D,Ship,4,5,184,2,medium,F,2,4429,No
F,Ship,3,3,134,3,medium,F,8,4950,No
D,Flight,4,1,242,3,medium,F,35,3556,Yes
C,Ship,5,5,240,5,medium,M,10,1574,Yes
F,Ship,4,2,236,3,low,M,4,4800,No
B,Ship,5,3,190,3,high,M,45,2628,Yes
D,Ship,4,2,133,6,medium,F,9,4879,No
A,Ship,6,3,259,5,medium,F,1,1271,No
A,Ship,2,2,157,3,low,M,1,1477,Yes
C,Flight,3,2,224,3,medium,M,1,5343,Yes
D,Ship,4,2,185,2,medium,M,4,2212,Yes
F,Ship,6,5,213,6,low,M,7,2709,Yes
F,Road,5,1,201,3,low,M,4,5166,Yes
D,Ship,2,1,165,4,low,F,57,1881,Yes
F,Ship,4,3,104,4,medium,M,3,4548,No
D,Flight,4,1,249,5,low,M,9,4396,No
B,Road,3,5,159,2,high,F,9,4099,Yes
A,Ship,4,3,148,4,low,F,1,4243,No
F,Ship,4,3,245,4,medium,M,8,5982,Yes
C,Road,4,2,112,2,medium,F,8,4599,No
A,Flight,3,5,151,3,low,F,1,4088,No
C,Ship,5,3,101,5,medium,F,1,4014,Yes
A,Ship,4,3,109,2,medium,F,4,5407,No
F,Ship,2,1,264,3,medium,M,10,3409,Yes
F,Ship,5,5,239,6,low,M,9,1417,Yes
C,Ship,4,1,228,3,low,F,53,2021,Yes
B,Ship,5,5,276,4,low,M,2,1411,Yes
F,Ship,3,3,249,2,medium,M,9,4034,Yes
B,Ship,4,4,170,3,medium,M,4,4062,No
F,Road,4,2,150,4,low,F,1,5922,Yes
F,Ship,5,1,216,10,medium,F,2,5672,No
B,Ship,3,4,133,4,low,F,10,4571,No
C,Ship,4,4,155,2,medium,F,9,4932,Yes
F,Ship,3,1,225,4,low,M,29,3496,Yes
F,Flight,5,4,206,3,low,M,53,2182,Yes
B,Flight,5,5,221,5,low,M,8,1718,No
D,Flight,2,4,170,5,low,M,10,5448,No
A,Road,2,4,155,5,low,M,9,1740,Yes
F,Ship,2,3,205,3,low,M,1,5137,No
C,Ship,5,1,149,2,low,M,9,5435,No
A,Ship,4,4,192,3,low,F,25,2443,Yes
F,Road,3,2,254,2,medium,F,10,5608,No
A,Ship,3,2,221,2,medium,M,10,4715,Yes
B,Ship,3,1,169,10,medium,F,15,1107,Yes
C,Ship,3,5,161,2,medium,M,9,4623,No
F,Ship,4,5,178,3,low,F,5,1012,Yes
D,Ship,4,4,233,4,low,M,3,5849,Yes
C,Ship,3,4,169,4,medium,F,32,1245,Yes
B,Ship,4,4,162,2,medium,M,8,1386,Yes
A,Ship,3,1,148,2,medium,M,5,4082,Yes
D,Ship,5,4,153,6,medium,M,35,1082,Yes
B,Ship,3,1,112,2,high,M,22,1846,Yes
F,Ship,4,3,130,3,medium,F,3,4317,No
B,Ship,5,2,157,3,low,M,1,1798,Yes
F,Ship,5,2,169,3,medium,M,3,5692,No
F,Flight,5,4,197,4,low,F,40,3303,Yes
F,Flight,5,3,248,5,low,F,7,1475,Yes
F,Flight,4,2,134,2,low,F,43,1714,Yes
D,Road,3,3,199,3,low,M,7,5258,Yes
C,Flight,3,1,143,4,low,M,6,5474,No
B,Ship,3,1,225,4,low,F,10,4080,Yes
D,Ship,4,2,172,3,low,M,1,1182,Yes
B,Road,4,5,148,3,low,M,5,4913,No
F,Ship,3,1,266,3,low,M,5,5154,No
C,Ship,3,5,275,4,medium,M,10,5066,No
B,Ship,4,2,261,3,low,M,4,5345,Yes
A,Ship,3,3,203,3,medium,F,4,5548,No
F,Ship,5,5,195,4,low,F,1,4393,Yes
F,Ship,2,1,138,2,low,M,8,4932,Yes
A,Ship,5,1,205,2,low,F,3,5682,Yes
A,Ship,4,5,159,5,low,F,7,4063,No
F,Flight,3,1,159,2,medium,F,3,5691,No
B,Ship,4,3,210,3,low,M,9,5556,No
B,Flight,5,4,99,2,high,F,4,4259,No
F,Flight,5,4,259,5,low,M,10,1177,No
A,Ship,5,3,263,2,low,M,3,4474,Yes
D,Ship,5,4,273,6,medium,F,7,4058,Yes
B,Ship,3,2,179,3,low,M,4,4102,Yes
B,Flight,3,4,213,3,low,F,4,5481,Yes
F,Ship,3,2,156,3,medium,M,2,4681,No
B,Ship,5,5,228,4,low,M,6,4946,Yes
F,Road,3,4,233,3,medium,F,10,4626,No
A,Ship,3,3,261,4,low,F,9,4529,Yes
D,Ship,6,4,241,6,high,F,61,2806,Yes
A,Ship,2,3,258,2,low,M,4,5052,Yes
F,Ship,2,5,116,3,low,F,1,4091,Yes
A,Flight,5,2,224,4,medium,M,43,2336,Yes
C,Flight,2,2,242,3,high,M,9,4717,No
F,Ship,5,5,237,5,high,F,2,1593,Yes
B,Road,5,1,203,3,low,F,2,4162,Yes
D,Flight,3,5,162,2,low,M,28,1948,Yes
F,Ship,4,5,237,5,low,M,2,1357,Yes
C,Ship,3,1,219,2,medium,F,10,4390,Yes
F,Ship,4,1,164,4,medium,M,3,5318,Yes
A,Ship,3,1,248,3,medium,M,7,5588,No
F,Ship,2,4,143,6,medium,F,1,5514,No
D,Ship,4,2,235,5,low,M,8,1021,No
F,Road,4,4,264,6,medium,F,6,1748,Yes
F,Ship,4,3,200,3,medium,M,5,5108,No
C,Road,3,4,150,2,medium,M,64,1777,Yes
D,Ship,6,3,277,4,medium,F,6,1433,No
F,Flight,4,3,167,3,medium,F,1,4621,Yes
C,Ship,4,4,140,8,medium,F,2,5481,No
F,Ship,3,2,229,6,medium,F,3,5689,Yes
A,Road,3,3,256,4,medium,M,3,4732,No
B,Ship,2,4,238,3,medium,M,4,5782,Yes
B,Ship,4,5,234,3,low,F,4,5100,Yes
F,Road,4,3,143,3,low,F,2,4693,No
A,Ship,6,2,301,4,medium,M,10,1747,Yes
B,Ship,6,1,189,3,medium,F,9,5316,No
F,Road,2,5,116,3,low,F,3,1688,Yes
B,Flight,4,4,137,2,medium,M,37,1447,Yes
F,Flight,4,1,223,3,medium,F,4,4972,Yes
D,Ship,5,4,269,3,medium,F,51,3415,Yes
D,Ship,3,4,252,2,low,M,6,4630,Yes
D,Ship,5,3,210,3,medium,M,9,5912,No
A,Road,4,3,247,3,high,F,1,5214,No
F,Ship,4,4,212,2,medium,F,6,4117,Yes
F,Ship,3,4,207,7,medium,F,46,2670,Yes
B,Ship,5,5,158,2,low,M,8,4743,No
C,Road,6,2,286,4,low,F,5,1248,Yes
B,Ship,3,2,256,2,medium,F,9,4228,Yes
F,Ship,4,5,157,3,medium,M,2,5791,Yes
C,Ship,5,4,117,3,medium,F,4,5332,No
F,Ship,4,5,239,6,low,M,2,1879,No
F,Ship,4,2,232,2,low,M,5,4907,No
B,Ship,4,1,202,2,medium,M,10,5428,Yes
F,Ship,3,3,233,3,medium,M,35,2204,Yes
A,Ship,3,1,160,3,medium,F,5,5524,No
F,Ship,3,3,201,2,low,F,2,5361,No
F,Ship,6,3,260,4,low,M,9,1131,Yes
D,Ship,3,3,211,4,high,F,22,2942,Yes
D,Ship,4,1,133,4,medium,M,64,1834,Yes
D,Ship,5,1,249,3,low,F,8,5940,No
B,Ship,6,4,227,5,medium,F,8,4388,No
C,Road,6,2,137,10,low,F,5,4510,No
A,Ship,3,1,178,4,medium,M,9,5727,Yes
A,Ship,5,2,236,3,low,F,51,3402,Yes
D,Ship,3,2,234,4,high,F,7,4568,Yes
F,Ship,2,4,226,3,low,M,9,4098,Yes
C,Ship,4,4,253,5,low,F,2,1709,No
F,Ship,4,5,164,3,high,M,3,4454,No
F,Ship,4,4,174,2,low,F,11,1577,Yes
F,Flight,3,5,162,2,medium,M,7,1739,Yes
F,Flight,4,2,172,3,medium,F,59,1858,Yes
B,Ship,4,4,266,3,low,M,3,5531,Yes
D,Flight,3,3,185,2,low,M,4,4746,No
F,Road,3,2,158,3,medium,M,4,5335,No
C,Flight,5,5,103,6,medium,F,2,4860,No
C,Flight,5,2,172,4,high,F,61,1161,Yes
C,Ship,4,1,229,4,medium,F,2,5378,Yes
A,Ship,4,5,255,4,low,M,14,3099,Yes
A,Ship,2,4,194,2,low,F,4,4803,Yes
C,Ship,3,4,256,3,low,M,7,5013,Yes
F,Flight,4,2,171,3,low,F,40,1021,Yes
F,Ship,3,3,158,3,low,F,6,1878,Yes
F,Flight,5,4,280,6,medium,F,51,3582,Yes
B,Road,4,2,224,2,low,M,9,5603,Yes
B,Flight,3,2,178,3,low,M,4,5119,Yes
B,Flight,5,1,236,5,low,M,8,1441,No
C,Ship,5,5,261,8,medium,M,39,2103,Yes
F,Ship,4,3,274,3,low,F,5,4409,No
F,Ship,3,2,264,2,low,M,6,5702,Yes
A,Flight,6,3,229,8,medium,M,6,4600,No
F,Ship,5,3,208,3,medium,M,35,3884,Yes
F,Road,6,5,130,6,low,F,60,1971,Yes
C,Flight,5,1,233,5,medium,M,4,1622,No
F,Ship,4,4,256,3,medium,M,1,5784,Yes
C,Flight,4,2,229,4,medium,M,3,5340,No
F,Ship,4,3,250,3,high,F,4,5272,Yes
D,Ship,3,3,254,2,high,M,17,3153,Yes
B,Ship,4,3,146,3,low,F,8,5673,Yes
D,Flight,4,2,164,2,medium,F,43,1976,Yes
F,Ship,4,5,152,3,medium,M,25,1222,Yes
C,Ship,6,1,215,5,medium,F,5,4362,No
A,Road,5,1,179,3,low,F,62,1945,Yes
D,Road,3,5,172,3,medium,F,7,4929,No
F,Ship,5,4,267,5,low,M,9,1113,No
D,Ship,3,1,255,5,low,F,1,2713,Yes
F,Ship,5,3,236,6,medium,M,9,3715,Yes
C,Ship,5,2,137,3,low,M,6,4883,No
D,Flight,4,4,244,2,medium,F,7,5543,Yes
A,Ship,3,1,179,2,medium,F,10,4828,No
F,Flight,4,5,142,10,high,F,5,4147,Yes
C,Ship,4,4,196,3,medium,F,2,4320,Yes
A,Ship,4,3,153,2,medium,M,1,4366,Yes
C,Ship,5,5,141,3,high,M,41,1367,Yes
C,Flight,7,1,255,4,medium,F,3,1450,No
F,Ship,3,3,185,3,medium,F,10,4387,No
F,Ship,2,5,189,3,low,F,5,5320,No
A,Road,2,2,149,4,medium,M,7,4598,No
C,Ship,4,4,192,2,low,M,1,4429,No
D,Ship,3,1,167,2,low,M,1,5749,No
A,Flight,5,3,175,3,low,M,7,4833,Yes
B,Ship,3,4,177,3,low,F,6,4445,No
F,Ship,4,2,184,2,medium,F,10,5959,No
F,Flight,5,3,238,5,medium,M,2,1150,Yes
D,Ship,2,2,153,2,low,M,46,1130,Yes
D,Ship,3,5,211,3,medium,M,5,4058,Yes
F,Ship,3,2,204,2,high,F,2,5526,No
A,Road,2,3,154,4,high,F,17,1897,Yes
F,Flight,5,4,205,3,low,F,3,4157,Yes
A,Ship,3,4,255,2,medium,F,7,4332,Yes
F,Ship,6,4,164,5,low,M,20,1555,Yes
F,Ship,6,1,288,4,medium,M,8,1806,Yes
F,Flight,3,4,270,2,low,M,4,4681,No
F,Ship,6,1,213,3,low,M,63,1548,Yes
F,Ship,5,4,231,2,medium,F,7,5491,Yes
A,Flight,4,1,179,2,medium,F,7,4605,No
B,Flight,5,2,275,5,low,F,9,5168,Yes
B,Ship,3,3,202,2,medium,M,39,3857,Yes
D,Ship,3,1,138,5,medium,F,8,1349,Yes
F,Flight,5,4,235,4,low,M,5,4506,No
B,Ship,6,4,256,4,low,F,9,1676,No
A,Ship,4,3,169,3,low,F,8,4613,No
B,Ship,4,5,113,3,low,F,52,1741,Yes
C,Ship,4,3,206,4,medium,M,1,4812,Yes
C,Ship,5,4,219,6,low,M,3,1098,No
A,Ship,5,1,230,3,low,F,43,2994,Yes
F,Ship,3,1,274,4,low,M,3,5979,No
D,Ship,6,5,263,4,low,M,10,1669,No
C,Ship,3,1,263,2,medium,M,9,4868,Yes
D,Ship,6,2,260,4,low,F,8,1522,No
F,Ship,5,1,144,4,low,M,37,1658,Yes
D,Ship,6,3,260,4,low,F,10,1140,No
C,Ship,4,2,161,2,high,F,8,5654,Yes
F,Road,5,1,234,3,high,F,9,5548,No
A,Road,4,2,232,5,medium,M,3,1197,No
C,Ship,2,3,130,4,medium,M,10,4363,No
B,Ship,2,4,255,7,low,M,10,5875,No
B,Ship,5,1,239,5,low,M,1,1239,No
A,Ship,2,5,252,3,medium,M,7,5281,No
D,Ship,2,3,123,2,medium,M,11,1383,Yes
B,Flight,3,2,164,3,medium,F,29,1187,Yes
F,Flight,5,5,255,2,medium,M,1,4604,Yes
D,Ship,7,1,301,4,low,M,10,1869,No
B,Ship,5,3,240,5,low,M,6,1489,No
D,Ship,4,1,239,4,high,M,2,5502,No
B,Ship,3,3,250,3,medium,M,9,2752,Yes
D,Ship,3,5,268,4,high,M,5,3446,Yes
F,Flight,4,3,246,2,low,M,60,2086,Yes
D,Road,4,2,255,5,medium,M,2,1186,Yes
A,Ship,3,3,132,2,medium,M,1,4687,No
F,Flight,5,2,265,3,medium,F,33,2734,Yes
F,Ship,4,1,271,2,low,F,1,4866,No
B,Ship,5,4,244,3,medium,F,3,4015,No
B,Flight,3,1,191,3,low,M,1,4705,No
F,Ship,3,4,228,2,medium,M,65,3943,Yes
F,Ship,4,2,214,6,medium,M,9,4736,Yes
B,Ship,5,5,245,5,low,M,5,1252,No
A,Ship,4,5,198,7,medium,M,9,4249,Yes
B,Ship,4,1,219,3,low,F,5,5632,No
C,Flight,3,4,150,2,low,F,6,5987,No
A,Ship,6,5,249,4,medium,M,3,1710,Yes
C,Road,5,4,217,3,medium,F,8,4949,Yes
C,Road,2,2,127,3,low,M,13,1128,Yes
D,Ship,4,3,213,3,low,F,2,5722,No
F,Ship,3,3,166,2,medium,F,8,5871,No
C,Road,4,2,108,10,medium,M,5,4645,No
F,Flight,5,4,281,3,low,F,10,5675,No
D,Ship,5,4,190,2,medium,M,9,3753,Yes
C,Ship,3,2,253,2,medium,F,2,4567,No
B,Ship,5,5,133,2,low,F,18,1134,Yes
B,Road,5,3,270,5,medium,M,9,1764,Yes
A,Ship,5,5,193,4,medium,M,8,5714,No
C,Ship,5,1,258,3,medium,M,7,4466,Yes
F,Flight,6,5,268,4,low,F,2,1324,No
F,Ship,4,1,190,2,medium,F,4,4501,No
F,Flight,5,2,143,3,medium,M,12,1802,Yes
A,Ship,5,5,259,6,low,M,5,1382,Yes
B,Ship,6,1,283,5,low,F,9,1311,Yes
C,Ship,3,1,133,3,medium,M,8,4634,No
C,Road,6,3,260,4,low,M,4,1358,No
D,Road,4,3,236,2,high,M,23,3123,Yes
F,Ship,5,4,237,3,high,M,9,5401,No
D,Ship,5,4,157,4,low,M,9,4840,No
A,Road,2,3,142,3,low,F,46,1694,Yes
D,Flight,4,1,173,4,low,F,5,5530,Yes
A,Ship,3,2,177,3,medium,M,8,5006,Yes
C,Flight,4,5,210,4,medium,F,28,3905,Yes
C,Ship,3,2,158,2,medium,M,9,4881,No
B,Ship,4,3,134,4,low,M,8,4879,Yes
C,Road,7,5,301,4,low,M,9,1660,Yes
A,Ship,2,3,139,8,medium,M,21,1033,Yes
F,Ship,5,4,201,3,low,F,5,5137,No
C,Flight,4,4,260,3,low,M,9,4224,No
F,Ship,3,3,144,2,low,M,6,5994,Yes
D,Road,3,3,255,2,medium,M,3,2894,Yes
F,Ship,5,4,135,2,medium,F,20,1908,Yes
A,Ship,3,5,270,5,low,M,31,3737,Yes
D,Flight,6,1,273,4,medium,F,6,1524,No
F,Road,3,1,269,2,medium,M,38,2195,Yes
A,Ship,6,3,247,4,medium,M,3,1903,No
A,Ship,5,3,137,4,low,F,2,1034,No
F,Ship,4,3,195,4,medium,F,1,5004,No
F,Ship,4,4,136,3,high,F,35,1234,Yes
F,Ship,6,5,276,4,low,M,3,1136,No
F,Ship,7,3,300,4,medium,F,5,1244,No
F,Road,5,2,171,3,low,M,6,4656,Yes
F,Ship,5,3,104,4,low,M,3,4885,Yes
C,Road,3,4,257,5,medium,M,10,4901,Yes
A,Road,4,5,180,4,high,F,10,5176,Yes
D,Ship,3,2,245,3,medium,F,7,4121,No
D,Ship,3,1,224,3,low,M,8,4908,No
B,Flight,5,2,223,5,low,F,5,1010,Yes
B,Flight,5,1,232,5,medium,F,7,1069,Yes
F,Flight,5,3,267,5,low,M,6,1119,Yes
F,Ship,3,4,179,2,low,F,2,4931,Yes
F,Road,5,3,234,5,low,M,7,1691,Yes
A,Ship,3,3,269,3,high,F,6,4260,Yes
A,Ship,4,3,142,6,low,M,6,1459,Yes
C,Ship,2,3,157,2,low,M,45,1965,Yes
F,Ship,7,2,300,4,medium,M,3,1070,Yes
D,Ship,4,3,223,3,medium,F,9,5897,No
B,Ship,3,4,178,8,medium,F,6,4146,No
F,Ship,4,3,184,7,medium,M,5,5920,Yes
F,Ship,3,1,171,2,low,M,1,1629,Yes
C,Ship,3,5,156,8,medium,F,9,4733,Yes
F,Road,2,3,201,3,medium,M,5,5733,Yes
C,Ship,5,4,185,4,medium,M,31,3565,Yes
F,Road,3,5,172,3,medium,M,1,5024,Yes
A,Road,3,1,154,3,medium,M,4,4631,No
D,Ship,6,4,157,6,low,F,9,5354,Yes
A,Flight,5,3,244,2,low,M,5,4713,No
B,Road,3,1,220,2,high,F,40,3773,Yes
B,Road,4,4,192,4,low,F,2,5856,Yes
D,Flight,4,1,155,3,low,F,5,4283,Yes
D,Ship,2,5,282,5,low,M,63,1173,Yes
F,Ship,2,4,181,6,medium,F,16,3605,Yes
D,Road,4,1,251,3,low,F,4,4374,Yes
A,Flight,2,2,183,4,low,M,48,3374,Yes
A,Road,3,1,236,3,medium,F,8,5341,Yes
B,Ship,5,3,250,5,low,M,12,2722,Yes
D,Flight,5,2,197,4,high,M,4,4339,Yes
A,Ship,7,3,307,4,low,M,4,1653,No
F,Flight,4,1,149,3,low,M,2,4499,No
F,Ship,4,4,265,4,medium,F,6,4607,Yes
D,Ship,3,2,207,3,high,F,3,4909,Yes
D,Ship,3,4,246,3,low,M,1,4020,Yes
F,Ship,3,2,232,2,low,F,39,2139,Yes
B,Ship,4,3,275,5,medium,M,5,1329,No
F,Road,4,3,270,5,low,F,3,1786,Yes
C,Road,4,4,185,2,medium,F,1,4729,No
C,Road,3,5,226,3,medium,M,5,3914,Yes
C,Ship,3,5,268,2,low,F,4,5909,No
B,Ship,5,3,163,6,low,M,6,4349,No
F,Flight,3,1,214,2,low,F,3,5595,Yes
B,Ship,7,2,285,4,low,M,2,1491,Yes
C,Ship,3,1,150,2,low,F,6,5355,No
B,Ship,4,1,300,5,medium,M,6,1027,No
F,Ship,5,5,243,6,medium,F,9,4587,No
A,Ship,5,4,191,4,low,M,8,4566,Yes
F,Ship,7,5,289,4,low,F,10,1074,Yes
F,Ship,5,3,245,2,medium,F,8,3231,Yes
C,Ship,3,1,225,2,high,M,6,5274,Yes
D,Ship,4,2,259,5,medium,F,2,1054,No
B,Ship,3,5,284,2,low,M,10,5619,No
C,Ship,3,4,253,3,low,M,6,3788,Yes
B,Ship,4,3,253,5,low,F,10,1464,No
F,Ship,3,1,206,3,medium,M,28,2892,Yes
B,Road,4,2,227,5,low,M,7,1354,Yes
B,Ship,4,5,262,4,low,M,16,2871,Yes
F,Ship,4,2,263,3,medium,M,4,4935,Yes
A,Ship,3,3,141,2,medium,F,48,1758,Yes
C,Ship,4,4,197,2,medium,F,1,5211,No
C,Ship,4,4,201,10,low,M,3,4202,No
B,Ship,4,5,241,4,medium,M,58,2874,Yes
F,Ship,2,1,163,3,medium,F,24,1119,Yes
B,Ship,3,2,231,3,low,F,5,5046,No
C,Road,4,1,168,2,low,F,41,1515,Yes
D,Ship,5,1,267,4,low,M,5,4440,Yes
A,Ship,3,1,223,2,low,M,8,5719,Yes
F,Ship,4,5,156,3,low,F,33,1836,Yes
D,Road,3,4,138,5,medium,F,5,5690,No
F,Ship,3,4,197,2,low,F,3,4865,No
F,Flight,4,4,203,3,medium,M,8,4443,No
B,Ship,4,5,248,3,low,M,7,5853,No
F,Ship,3,4,237,3,low,M,1,5980,No
D,Flight,4,3,164,3,medium,F,4,4495,No
A,Ship,3,2,174,3,low,M,4,1337,Yes
B,Flight,5,1,183,6,medium,F,2,5082,No
B,Ship,5,3,215,2,medium,F,10,5194,Yes
D,Ship,2,5,238,4,medium,M,9,4086,No
C,Flight,6,3,276,4,low,M,6,1670,Yes
F,Flight,4,3,158,3,medium,F,57,1911,Yes
C,Ship,6,2,266,4,low,F,9,1220,No
F,Ship,6,2,226,4,high,F,7,5600,No
D,Ship,3,5,227,3,high,M,9,4892,Yes
C,Ship,3,2,201,3,medium,M,7,4890,No
F,Ship,6,2,191,5,low,M,1,4314,No
F,Ship,3,2,164,2,medium,F,7,4150,No
B,Road,5,2,137,3,medium,M,47,1023,Yes
D,Ship,3,5,196,3,medium,F,9,4741,Yes
C,Ship,4,5,244,3,low,F,49,3914,Yes
F,Ship,3,2,182,2,low,F,40,2592,Yes
C,Ship,5,3,162,4,low,F,6,1968,No
B,Ship,7,4,243,4,medium,F,6,1362,Yes
F,Ship,3,3,176,2,medium,M,34,1856,Yes
B,Ship,2,1,143,3,low,M,4,4512,No
C,Ship,6,4,258,4,low,M,9,1104,No
F,Ship,6,5,249,5,medium,M,26,3897,Yes
C,Ship,7,3,289,4,low,F,3,1037,Yes
F,Ship,4,4,166,6,low,F,6,4100,Yes
F,Flight,3,4,217,3,low,F,5,4077,No
A,Ship,3,1,165,3,low,M,10,5823,No
B,Ship,7,3,286,4,low,F,5,1866,Yes
D,Flight,5,2,268,3,medium,M,8,5385,Yes
D,Ship,3,4,240,3,high,F,6,4412,No
B,Flight,3,3,260,4,low,M,8,5595,Yes
B,Ship,5,2,232,6,medium,F,3,1540,No
F,Ship,4,4,176,3,medium,M,53,1472,Yes
B,Ship,2,1,271,2,low,M,7,5875,No
F,Ship,3,5,150,10,low,M,2,5042,No
A,Ship,3,4,148,3,low,M,1,4387,No
A,Ship,4,3,211,7,high,M,9,5652,Yes
B,Ship,5,3,252,2,medium,M,9,1809,No
D,Ship,4,4,226,5,low,M,1,1761,No
D,Ship,3,2,169,3,low,F,3,5673,No
D,Flight,5,3,266,3,low,F,19,2508,Yes
D,Ship,2,1,192,3,low,F,9,4774,No
F,Ship,4,3,131,5,low,M,6,1659,Yes
C,Ship,3,3,192,3,medium,F,2,3995,Yes
C,Road,6,2,235,5,low,F,5,1051,Yes
B,Ship,3,4,216,3,medium,M,3,5651,No
F,Ship,3,4,257,4,low,M,9,4537,No
F,Flight,6,2,205,5,high,M,6,4756,No
B,Ship,3,4,210,3,low,M,10,4398,Yes
F,Road,4,4,153,2,low,F,8,4248,No
A,Ship,3,4,164,2,low,M,1,4067,Yes
A,Ship,6,4,268,4,medium,M,5,4126,Yes
C,Ship,4,1,134,3,medium,M,2,4983,No
D,Ship,6,3,244,5,medium,F,1,1847,Yes
C,Road,4,3,244,3,medium,M,1,3982,Yes
F,Ship,3,5,195,2,medium,F,9,5832,No
F,Ship,3,3,261,8,low,M,10,4145,No
C,Ship,5,4,210,3,medium,F,6,5102,No
B,Ship,6,5,253,4,medium,M,8,1899,Yes
C,Ship,4,1,177,2,low,M,2,5911,No
F,Ship,4,4,194,4,low,F,10,5024,No
C,Ship,4,3,158,3,high,M,1,5089,Yes
A,Flight,4,5,167,2,low,F,10,5067,No
D,Ship,2,5,277,3,medium,M,6,1032,No
F,Ship,5,3,173,3,low,M,5,5395,No
C,Ship,5,2,226,5,medium,M,5,1323,No
C,Ship,4,2,273,4,low,F,26,3223,Yes
F,Ship,3,5,205,4,low,F,9,4819,Yes
D,Road,3,2,180,6,medium,M,3,5780,Yes
B,Ship,3,2,191,4,medium,F,16,2277,Yes
F,Ship,4,2,141,2,medium,M,52,1012,Yes
D,Ship,3,3,169,3,high,M,1,4647,No
A,Flight,3,2,264,3,medium,M,5,3861,Yes
A,Flight,4,4,225,5,low,M,5,5060,Yes
B,Ship,3,3,150,3,low,M,5,5328,No
F,Ship,6,4,222,8,low,F,1,5808,Yes
D,Ship,3,4,98,3,low,M,5,4432,No
D,Ship,2,2,161,5,medium,M,3,4138,No
C,Flight,2,4,144,4,low,F,8,5760,Yes
F,Flight,6,1,174,10,medium,M,7,4287,No
F,Flight,3,3,229,3,low,M,14,2164,Yes
F,Flight,4,4,197,3,low,F,29,2915,Yes
C,Ship,5,4,215,2,low,F,45,3501,Yes
D,Ship,5,2,226,6,low,F,5,1981,Yes
C,Ship,2,3,129,5,medium,M,3,5444,Yes
A,Ship,3,5,278,4,medium,F,8,1785,No
D,Ship,4,3,161,2,medium,M,3,4391,Yes
F,Road,6,3,171,3,low,F,1,4952,No
C,Ship,7,5,293,4,low,F,2,1080,Yes
D,Ship,4,4,270,3,low,F,4,5888,No
F,Ship,4,5,177,3,medium,F,7,4243,Yes
F,Ship,5,1,259,5,low,F,7,1871,Yes
F,Ship,6,1,257,3,medium,M,60,3416,Yes
F,Flight,5,4,143,2,low,F,8,5291,No
C,Road,4,5,244,3,low,F,7,4172,No
F,Ship,4,3,256,2,medium,F,3,4679,Yes
A,Ship,3,3,258,3,medium,F,7,4068,Yes
F,Ship,4,1,139,3,low,F,56,1811,Yes
B,Ship,5,1,198,4,low,F,5,5719,No
A,Ship,4,2,136,4,medium,M,9,5038,No
F,Ship,5,1,193,6,medium,F,4,5964,No
A,Ship,4,4,221,10,high,M,6,5582,Yes
D,Road,5,2,223,5,medium,F,6,1883,No
F,Road,4,4,145,3,medium,F,3,5424,Yes
F,Flight,6,5,308,4,low,F,7,1078,No
D,Flight,5,4,271,3,medium,F,16,2563,Yes
F,Ship,4,1,233,4,low,M,2,1809,No
B,Road,4,1,280,3,medium,M,2,3366,Yes
B,Road,3,2,158,3,medium,F,39,1512,Yes
D,Ship,5,5,210,6,low,M,3,5051,No
D,Ship,3,5,241,3,medium,M,48,2841,Yes
F,Ship,4,2,128,3,medium,M,7,5675,Yes
C,Ship,5,5,230,3,medium,M,43,3609,Yes
C,Ship,3,2,139,5,low,M,8,4595,No
B,Ship,2,5,160,3,medium,F,31,7401,Yes
C,Ship,2,3,257,2,low,F,1,5331,Yes
B,Ship,5,3,202,4,low,M,6,5107,No
B,Ship,6,5,289,4,low,M,5,1600,Yes
C,Flight,3,3,135,3,low,M,56,1490,Yes
F,Road,4,3,139,3,low,F,1,4986,No
F,Ship,3,1,217,4,medium,F,1,5761,Yes
A,Ship,2,2,161,2,medium,F,1,1642,Yes
A,Ship,5,5,133,3,medium,F,21,1648,Yes
F,Ship,3,3,250,2,medium,F,4,4380,No
B,Ship,4,5,218,6,low,M,5,4364,Yes
F,Road,4,2,158,3,medium,F,9,4078,Yes
F,Ship,3,1,157,2,high,M,19,1898,Yes
A,Ship,5,5,205,2,high,M,65,3671,Yes
B,Ship,2,2,173,3,low,F,10,4736,No
B,Ship,3,4,122,3,high,F,10,4880,No
F,Ship,5,2,206,2,medium,F,2,5627,Yes
D,Ship,5,3,209,4,medium,F,7,2675,Yes
F,Road,3,1,180,6,low,M,5,4802,Yes
F,Ship,3,3,151,3,medium,F,1,5297,No
F,Road,3,3,242,3,low,F,7,3127,Yes
F,Flight,6,2,250,4,medium,F,3,1777,Yes
D,Ship,5,1,285,4,medium,F,10,1428,No
B,Ship,4,5,243,3,low,M,9,5263,No
F,Flight,4,4,196,5,low,F,6,4258,No
B,Road,3,2,271,2,medium,M,6,5280,Yes
B,Ship,4,5,189,2,medium,M,6,5439,Yes
